# camberline.x, camberline.y, pressureLine.x, pressureLine.y, suctionLine.x, suctionLine.y
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.168375916970614270e-05 -5.175513944538634448e-05 9.363847818132884368e-04 9.909890143455571399e-04 -8.130172634738761514e-04 -1.094499293236329829e-03
5.550625190149927057e-04 -4.654548134219727018e-04 3.177091767381329864e-03 2.667888448330415097e-03 -2.066966729351344453e-03 -3.598798075174360501e-03
1.541333133436018077e-03 -1.291035319994637831e-03 5.899548074322030419e-03 3.942325578554502913e-03 -2.816881807449994699e-03 -6.524396218543778575e-03
3.019522272410146702e-03 -2.524868957066161990e-03 9.092838352074696442e-03 4.821027389771736886e-03 -3.053793807254404774e-03 -9.870765303904061733e-03
4.988171141721231550e-03 -4.161537790424857386e-03 1.274576273724225065e-02 5.312462209730224941e-03 -2.769420453799788847e-03 -1.363553779057993971e-02
7.445336922613066122e-03 -6.193859581503202705e-03 1.684691216234872682e-02 5.426792020885026074e-03 -1.956238317122592843e-03 -1.781451118389143148e-02
1.038859468911712547e-02 -8.612919854653483531e-03 2.138473331296783866e-02 5.175817385894554250e-03 -6.075439347335880513e-04 -2.240165709520152218e-02
1.381503980116172148e-02 -1.140810906585235096e-02 2.634758202687717890e-02 4.572914810544833480e-03 1.282497575446267524e-03 -2.738913294224953540e-02
1.772129077110096151e-02 -1.456716393360110717e-02 3.172376448524062698e-02 3.632966342444951362e-03 3.718817056961294318e-03 -3.276729420964716311e-02
2.210349260083493972e-02 -1.807621208533705115e-02 3.750156618600226227e-02 2.372281206002349249e-03 6.705419015667612830e-03 -3.852470537667644634e-02
2.695732058622735128e-02 -2.191981926502323264e-02 4.366926936077140942e-02 8.085093158322394918e-04 1.024537181168329314e-02 -4.464814784587870650e-02
3.227798458506631052e-02 -2.608103844216363987e-02 5.021516015279745698e-02 -1.039453400664574296e-03 1.434080901733516406e-02 -5.112262348366270609e-02
3.806023374435663076e-02 -3.054146026001477998e-02 5.712752747390541924e-02 -3.151567801068711015e-03 1.899294001480783881e-02 -5.793135271896084765e-02
4.429836168227735405e-02 -3.528126436106462926e-02 6.439465596619176058e-02 -5.506762183737778579e-03 2.420206739836295445e-02 -6.505576653839147128e-02
5.098621211969217581e-02 -4.027927123023475331e-02 7.200481587984139398e-02 -8.083050298056764643e-03 2.996760835954295765e-02 -7.247549216241273851e-02
5.811718495565326714e-02 -4.551299429971580879e-02 7.994625291914887744e-02 -1.085765592115056632e-02 3.628811699215765685e-02 -8.016833267828106513e-02
6.568424278090440049e-02 -5.095869216268017476e-02 8.820718119084711151e-02 -1.380714289518619568e-02 4.316130437096169642e-02 -8.811024143017415211e-02
7.367991782295391090e-02 -5.659142084499269032e-02 9.677578230743678900e-02 -1.690754918067801857e-02 5.058405333847103280e-02 -9.627529250930735860e-02
8.209631931586486298e-02 -6.238508618309651643e-02 1.056402134578849766e-01 -2.013452313651410003e-02 5.855242517384475626e-02 -1.046356492296789259e-01
