# camberline.x, camberline.y, pressureLine.x, pressureLine.y, suctionLine.x, suctionLine.y
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.168375916970614270e-05 -3.425992227575752613e-06 1.232354033133719522e-04 1.105041439466846126e-03 7.494725267162534391e-13 -1.114272635312869939e-03
5.550625190149927057e-04 -3.080322981393983361e-05 7.385044902450307305e-04 3.281529008053775138e-03 3.680702529307726986e-04 -3.407241604895263308e-03
1.541333133436018077e-03 -8.539428251206487852e-05 1.843059825615985707e-03 5.391738584990350518e-03 1.223324271257870575e-03 -5.858091359477017764e-03
3.019522272410146702e-03 -1.668737966540219386e-04 3.433637441363125101e-03 7.410498990674298410e-03 2.561356863896715758e-03 -8.550266601231062275e-03
4.988171141721231550e-03 -2.747574347989403809e-04 5.506654066489958220e-03 9.313626107557045064e-03 4.377816236513717985e-03 -1.156214379728863484e-02
7.445336922613066122e-03 -4.084061975545005829e-04 8.058266213195405467e-03 1.107823180612403126e-02 6.668581471459018341e-03 -1.496523923575860011e-02
1.038859468911712547e-02 -5.670319794211335640e-04 1.108442132175064924e-02 1.268301404476302602e-02 9.429904074121343849e-03 -1.882258049472253572e-02
1.381503980116172148e-02 -7.497041508011132588e-04 1.458089919838032912e-02 1.410852388054637668e-02 1.265850734875250024e-02 -2.318728010502861189e-02
1.772129077110096151e-02 -9.553568852328046812e-04 1.854334248198060558e-02 1.533740559990663839e-02 1.635164009704999019e-02 -2.810134486474267709e-02
2.210349260083493972e-02 -1.182796875442667858e-03 2.296727545511861521e-02 1.635460672522623393e-02 2.050708405373802626e-02 -3.359474805442036471e-02
2.695732058622735128e-02 -1.430711007206632301e-03 2.784811113505983315e-02 1.714755526412847786e-02 2.512311736029839565e-02 -3.968478487135918692e-02
3.227798458506631052e-02 -1.697673489540321712e-03 3.318114719963441428e-02 1.770630223003119216e-02 3.019843900350250437e-02 -4.637572393214953875e-02
3.806023374435663076e-02 -1.982151876608514648e-03 3.896155187734701847e-02 1.802362816122242070e-02 3.573206130072170000e-02 -5.365875988778217448e-02
4.429836168227735405e-02 -2.282511364058379885e-03 4.518434142029783412e-02 1.809511308596430806e-02 4.172317902995616168e-02 -6.151226426829368293e-02
5.098621211969217581e-02 -2.597016703147466202e-03 5.184435114704015468e-02 1.791917010644314412e-02 4.817102456712187009e-02 -6.990232384523306641e-02
5.811718495565326714e-02 -2.923831052701771765e-03 5.893620226416100560e-02 1.749704348747973745e-02 5.507471836372498930e-02 -7.878354829129473325e-02
6.568424278090440049e-02 -3.261011083911110123e-03 6.645426673518446681e-02 1.683277281916753867e-02 6.243312330659668563e-02 -8.810012194198371671e-02
7.367991782295391090e-02 -3.606497668154564837e-03 7.439263236118842659e-02 1.593312545860292931e-02 7.024471005184070027e-02 -9.778706822518315467e-02
8.209631931586486298e-02 -3.958101514892091097e-03 8.274506998034106275e-02 1.480750002804464248e-02 7.850743848335500763e-02 -1.077716900014559359e-01
9.092514128748829805e-02 -4.313483186088701640e-03 9.150500430686642206e-02 1.346780424011705633e-02 8.721865822277509450e-02 -1.179751448043726419e-01
1.001576707564547086e-01 -4.670126996031346081e-03 1.006654894478013346e-01 1.192831072208090128e-02 9.637502884577488216e-02 -1.283141109074575625e-01
1.097847963308350994e-01 -5.025308410548111164e-03 1.102191896001450677e-01 1.020549481035821354e-02 1.059724583707680190e-01 -1.387024983575606274e-01
1.197970171999845346e-01 -5.376054686736156558e-03 1.201583648877461580e-01 8.317858475996578113e-03 1.160060568851424695e-01 -1.490531586499283800e-01
1.301844525106951034e-01 -5.719098641939416271e-03 1.304748617930361898e-01 6.285744617298121700e-03 1.264701010180757923e-01 -1.592795475844392961e-01
1.409368511184055928e-01 -6.050825606883043078e-03 1.411601072164664350e-01 4.131145916302426425e-03 1.373580044500922748e-01 -1.692972980024636531e-01
1.520436017038428456e-01 -6.367213799995869068e-03 1.522051048920183558e-01 1.877512303120129058e-03 1.486622897867335702e-01 -1.790256624887469339e-01
1.634937432451133432e-01 -6.663768554924998783e-03 1.636004327260620894e-01 -4.504391889466091876e-04 1.603745578617954970e-01 -1.883887906265477308e-01
