#     x             y        x_tangent     y_tangent     x_normal      y_normal
+0.00000E+00  +0.00000E+00  +6.42788E-01  -7.66044E-01  +7.66044E-01  +6.42788E-01
+2.46740E-06  -2.94053E-06  +6.42789E-01  -7.66043E-01  +7.66043E-01  +6.42789E-01
+2.22064E-05  -2.64641E-05  +6.42802E-01  -7.66033E-01  +7.66033E-01  +6.42802E-01
+6.16838E-05  -7.35080E-05  +6.42827E-01  -7.66011E-01  +7.66011E-01  +6.42827E-01
+1.20898E-04  -1.44066E-04  +6.42865E-01  -7.65979E-01  +7.65979E-01  +6.42865E-01
+1.99846E-04  -2.38127E-04  +6.42916E-01  -7.65937E-01  +7.65937E-01  +6.42916E-01
+2.98526E-04  -3.55679E-04  +6.42979E-01  -7.65883E-01  +7.65883E-01  +6.42979E-01
+4.16933E-04  -4.96705E-04  +6.43056E-01  -7.65819E-01  +7.65819E-01  +6.43056E-01
+5.55063E-04  -6.61185E-04  +6.43145E-01  -7.65744E-01  +7.65744E-01  +6.43145E-01
+7.12909E-04  -8.49096E-04  +6.43247E-01  -7.65658E-01  +7.65658E-01  +6.43247E-01
+8.90467E-04  -1.06041E-03  +6.43363E-01  -7.65561E-01  +7.65561E-01  +6.43363E-01
+1.08773E-03  -1.29510E-03  +6.43491E-01  -7.65453E-01  +7.65453E-01  +6.43491E-01
+1.30469E-03  -1.55313E-03  +6.43633E-01  -7.65334E-01  +7.65334E-01  +6.43633E-01
+1.54133E-03  -1.83446E-03  +6.43788E-01  -7.65204E-01  +7.65204E-01  +6.43788E-01
+1.79766E-03  -2.13906E-03  +6.43957E-01  -7.65062E-01  +7.65062E-01  +6.43957E-01
+2.07365E-03  -2.46688E-03  +6.44139E-01  -7.64909E-01  +7.64909E-01  +6.44139E-01
+2.36930E-03  -2.81787E-03  +6.44334E-01  -7.64744E-01  +7.64744E-01  +6.44334E-01
+2.68459E-03  -3.19198E-03  +6.44543E-01  -7.64568E-01  +7.64568E-01  +6.44543E-01
+3.01952E-03  -3.58916E-03  +6.44766E-01  -7.64380E-01  +7.64380E-01  +6.44766E-01
+3.37407E-03  -4.00935E-03  +6.45003E-01  -7.64180E-01  +7.64180E-01  +6.45003E-01
+3.74822E-03  -4.45249E-03  +6.45254E-01  -7.63968E-01  +7.63968E-01  +6.45254E-01
+4.14197E-03  -4.91851E-03  +6.45519E-01  -7.63745E-01  +7.63745E-01  +6.45519E-01
+4.55529E-03  -5.40735E-03  +6.45797E-01  -7.63509E-01  +7.63509E-01  +6.45797E-01
+4.98817E-03  -5.91894E-03  +6.46091E-01  -7.63261E-01  +7.63261E-01  +6.46091E-01
+5.44059E-03  -6.45319E-03  +6.46398E-01  -7.63000E-01  +7.63000E-01  +6.46398E-01
+5.91254E-03  -7.01003E-03  +6.46720E-01  -7.62727E-01  +7.62727E-01  +6.46720E-01
+6.40399E-03  -7.58938E-03  +6.47057E-01  -7.62442E-01  +7.62442E-01  +6.47057E-01
+6.91493E-03  -8.19115E-03  +6.47408E-01  -7.62143E-01  +7.62143E-01  +6.47408E-01
+7.44534E-03  -8.81525E-03  +6.47774E-01  -7.61832E-01  +7.61832E-01  +6.47774E-01
+7.99519E-03  -9.46159E-03  +6.48156E-01  -7.61508E-01  +7.61508E-01  +6.48156E-01
+8.56446E-03  -1.01301E-02  +6.48552E-01  -7.61171E-01  +7.61171E-01  +6.48552E-01
+9.15314E-03  -1.08206E-02  +6.48963E-01  -7.60820E-01  +7.60820E-01  +6.48963E-01
+9.76119E-03  -1.15330E-02  +6.49390E-01  -7.60456E-01  +7.60456E-01  +6.49390E-01
+1.03886E-02  -1.22673E-02  +6.49832E-01  -7.60078E-01  +7.60078E-01  +6.49832E-01
+1.10353E-02  -1.30233E-02  +6.50290E-01  -7.59686E-01  +7.59686E-01  +6.50290E-01
+1.17014E-02  -1.38009E-02  +6.50763E-01  -7.59281E-01  +7.59281E-01  +6.50763E-01
+1.23867E-02  -1.46000E-02  +6.51252E-01  -7.58861E-01  +7.58861E-01  +6.51252E-01
+1.30913E-02  -1.54204E-02  +6.51757E-01  -7.58428E-01  +7.58428E-01  +6.51757E-01
+1.38150E-02  -1.62621E-02  +6.52279E-01  -7.57979E-01  +7.57979E-01  +6.52279E-01
+1.45580E-02  -1.71248E-02  +6.52816E-01  -7.57517E-01  +7.57517E-01  +6.52816E-01
+1.53202E-02  -1.80086E-02  +6.53370E-01  -7.57039E-01  +7.57039E-01  +6.53370E-01
+1.61014E-02  -1.89131E-02  +6.53940E-01  -7.56546E-01  +7.56546E-01  +6.53940E-01
+1.69018E-02  -1.98384E-02  +6.54527E-01  -7.56039E-01  +7.56039E-01  +6.54527E-01
+1.77213E-02  -2.07842E-02  +6.55131E-01  -7.55515E-01  +7.55515E-01  +6.55131E-01
+1.85598E-02  -2.17503E-02  +6.55751E-01  -7.54977E-01  +7.54977E-01  +6.55751E-01
+1.94173E-02  -2.27367E-02  +6.56389E-01  -7.54422E-01  +7.54422E-01  +6.56389E-01
+2.02938E-02  -2.37432E-02  +6.57044E-01  -7.53852E-01  +7.53852E-01  +6.57044E-01
+2.11892E-02  -2.47697E-02  +6.57717E-01  -7.53266E-01  +7.53266E-01  +6.57717E-01
+2.21035E-02  -2.58158E-02  +6.58406E-01  -7.52663E-01  +7.52663E-01  +6.58406E-01
+2.30367E-02  -2.68816E-02  +6.59114E-01  -7.52043E-01  +7.52043E-01  +6.59114E-01
+2.39887E-02  -2.79668E-02  +6.59839E-01  -7.51407E-01  +7.51407E-01  +6.59839E-01
+2.49595E-02  -2.90712E-02  +6.60583E-01  -7.50753E-01  +7.50753E-01  +6.60583E-01
+2.59490E-02  -3.01947E-02  +6.61344E-01  -7.50083E-01  +7.50083E-01  +6.61344E-01
+2.69573E-02  -3.13371E-02  +6.62124E-01  -7.49394E-01  +7.49394E-01  +6.62124E-01
+2.79843E-02  -3.24981E-02  +6.62922E-01  -7.48688E-01  +7.48688E-01  +6.62922E-01
+2.90298E-02  -3.36777E-02  +6.63739E-01  -7.47964E-01  +7.47964E-01  +6.63739E-01
+3.00940E-02  -3.48755E-02  +6.64575E-01  -7.47222E-01  +7.47222E-01  +6.64575E-01
+3.11768E-02  -3.60915E-02  +6.65429E-01  -7.46461E-01  +7.46461E-01  +6.65429E-01
+3.22780E-02  -3.73254E-02  +6.66303E-01  -7.45681E-01  +7.45681E-01  +6.66303E-01
+3.33977E-02  -3.85770E-02  +6.67196E-01  -7.44882E-01  +7.44882E-01  +6.67196E-01
+3.45358E-02  -3.98460E-02  +6.68109E-01  -7.44064E-01  +7.44064E-01  +6.68109E-01
+3.56923E-02  -4.11324E-02  +6.69041E-01  -7.43226E-01  +7.43226E-01  +6.69041E-01
+3.68671E-02  -4.24358E-02  +6.69993E-01  -7.42368E-01  +7.42368E-01  +6.69993E-01
