#     x       bernstein00   bernstein01   bernstein02   bernstein03
+0.00000E+00  +1.50000E-01  +0.00000E+00  +0.00000E+00  +0.00000E+00
+5.02513E-03  +1.47750E-01  +2.98485E-03  +2.26125E-05  +3.80682E-08
+1.00503E-02  +1.45523E-01  +5.90955E-03  +8.99932E-05  +3.04545E-07
+1.50754E-02  +1.43318E-01  +8.77456E-03  +2.01457E-04  +1.02784E-06
+2.01005E-02  +1.41135E-01  +1.15803E-02  +3.56318E-04  +2.43636E-06
+2.51256E-02  +1.38975E-01  +1.43273E-02  +5.53892E-04  +4.75852E-06
+3.01508E-02  +1.36837E-01  +1.70160E-02  +7.93493E-04  +8.22273E-06
+3.51759E-02  +1.34721E-01  +1.96468E-02  +1.07444E-03  +1.30574E-05
+4.02010E-02  +1.32627E-01  +2.22202E-02  +1.39604E-03  +1.94909E-05
+4.52261E-02  +1.30555E-01  +2.47367E-02  +1.75761E-03  +2.77517E-05
+5.02513E-02  +1.28504E-01  +2.71967E-02  +2.15847E-03  +3.80682E-05
+5.52764E-02  +1.26475E-01  +2.96006E-02  +2.59792E-03  +5.06687E-05
+6.03015E-02  +1.24468E-01  +3.19489E-02  +3.07530E-03  +6.57818E-05
+6.53266E-02  +1.22482E-01  +3.42422E-02  +3.58990E-03  +8.36358E-05
+7.03518E-02  +1.20517E-01  +3.64807E-02  +4.14106E-03  +1.04459E-04
+7.53769E-02  +1.18573E-01  +3.86651E-02  +4.72807E-03  +1.28480E-04
+8.04020E-02  +1.16650E-01  +4.07957E-02  +5.35025E-03  +1.55927E-04
+8.54271E-02  +1.14748E-01  +4.28730E-02  +6.00693E-03  +1.87029E-04
+9.04523E-02  +1.12867E-01  +4.48975E-02  +6.69741E-03  +2.22014E-04
+9.54774E-02  +1.11007E-01  +4.68695E-02  +7.42101E-03  +2.61110E-04
+1.00503E-01  +1.09167E-01  +4.87897E-02  +8.17704E-03  +3.04545E-04
+1.05528E-01  +1.07348E-01  +5.06584E-02  +8.96483E-03  +3.52549E-04
+1.10553E-01  +1.05548E-01  +5.24761E-02  +9.78367E-03  +4.05350E-04
+1.15578E-01  +1.03770E-01  +5.42432E-02  +1.06329E-02  +4.63175E-04
+1.20603E-01  +1.02011E-01  +5.59602E-02  +1.15118E-02  +5.26254E-04
+1.25628E-01  +1.00272E-01  +5.76276E-02  +1.24197E-02  +5.94815E-04
+1.30653E-01  +9.85531E-02  +5.92458E-02  +1.33560E-02  +6.69086E-04
+1.35678E-01  +9.68540E-02  +6.08153E-02  +1.43199E-02  +7.49296E-04
+1.40704E-01  +9.51744E-02  +6.23365E-02  +1.53107E-02  +8.35673E-04
+1.45729E-01  +9.35145E-02  +6.38099E-02  +1.63278E-02  +9.28445E-04
+1.50754E-01  +9.18739E-02  +6.52359E-02  +1.73705E-02  +1.02784E-03
+1.55779E-01  +9.02526E-02  +6.66150E-02  +1.84381E-02  +1.13409E-03
+1.60804E-01  +8.86506E-02  +6.79477E-02  +1.95299E-02  +1.24742E-03
+1.65829E-01  +8.70675E-02  +6.92344E-02  +2.06452E-02  +1.36806E-03
+1.70854E-01  +8.55035E-02  +7.04756E-02  +2.17834E-02  +1.49623E-03
+1.75879E-01  +8.39583E-02  +7.16717E-02  +2.29437E-02  +1.63217E-03
+1.80905E-01  +8.24318E-02  +7.28232E-02  +2.41255E-02  +1.77611E-03
+1.85930E-01  +8.09240E-02  +7.39305E-02  +2.53280E-02  +1.92827E-03
+1.90955E-01  +7.94346E-02  +7.49941E-02  +2.65507E-02  +2.08888E-03
+1.95980E-01  +7.79636E-02  +7.60145E-02  +2.77928E-02  +2.25817E-03
+2.01005E-01  +7.65109E-02  +7.69921E-02  +2.90536E-02  +2.43636E-03
+2.06030E-01  +7.50764E-02  +7.79274E-02  +3.03325E-02  +2.62370E-03
+2.11055E-01  +7.36599E-02  +7.88208E-02  +3.16287E-02  +2.82039E-03
+2.16080E-01  +7.22613E-02  +7.96727E-02  +3.29416E-02  +3.02669E-03
+2.21106E-01  +7.08806E-02  +8.04837E-02  +3.42705E-02  +3.24280E-03
+2.26131E-01  +6.95175E-02  +8.12542E-02  +3.56147E-02  +3.46896E-03
+2.31156E-01  +6.81720E-02  +8.19847E-02  +3.69735E-02  +3.70540E-03
+2.36181E-01  +6.68441E-02  +8.26755E-02  +3.83462E-02  +3.95235E-03
+2.41206E-01  +6.55334E-02  +8.33273E-02  +3.97322E-02  +4.21004E-03
+2.46231E-01  +6.42400E-02  +8.39403E-02  +4.11308E-02  +4.47868E-03
+2.51256E-01  +6.29638E-02  +8.45151E-02  +4.25412E-02  +4.75852E-03
+2.56281E-01  +6.17045E-02  +8.50522E-02  +4.39628E-02  +5.04978E-03
